step,train_loss,val_loss,val_ppl,val_bpb,gap_loss,grad_norm,param_norm
50,5.6794,5.5522,257.8068,8.0101,-0.1272,1.4475,314.6553
100,6.0402,5.1523,172.8318,7.4332,-0.8879,1.6962,353.4497
150,4.8409,4.9559,142.0039,7.1498,0.1150,1.4171,378.5109
200,6.2415,4.8088,122.5811,6.9376,-1.4327,1.7693,396.1202
250,5.9466,4.7685,117.7473,6.8796,-1.1781,1.7898,413.2345
300,4.5695,4.7011,110.0662,6.7822,0.1316,1.6540,431.0759
350,4.8241,4.7001,109.9603,6.7808,-0.1239,3.1259,447.8998
400,4.5473,4.6869,108.5158,6.7618,0.1396,2.7671,467.8222
450,4.6678,4.7381,114.2192,6.8357,0.0703,4.3448,492.8025
500,3.7013,4.7082,110.8542,6.7925,1.0069,5.2743,515.8170
550,4.3867,4.7536,115.9972,6.8579,0.3669,4.7800,538.9431
600,5.0129,4.7300,113.2977,6.8240,-0.2828,14.5042,558.8057
650,5.2080,4.7744,118.4421,6.8880,-0.4336,8.2943,580.5119
700,4.3770,4.8250,124.5861,6.9610,0.4480,13.3564,603.9322
750,5.3991,4.8562,128.5290,7.0060,-0.5430,28.9641,624.2695
800,4.9483,4.8511,127.8790,6.9986,-0.0973,51.0106,640.9108
850,5.0387,4.8828,132.0016,7.0444,-0.1559,17.0065,660.5114
900,3.8140,4.8851,132.2997,7.0477,1.0711,251.7011,680.2070
950,4.3736,4.9411,139.9296,7.1286,0.5675,9.7749,703.2724
1000,4.9423,4.9764,144.9520,7.1794,0.0341,71.2106,728.6722
1050,4.0220,4.9364,139.2704,7.1217,0.9144,5.5092,750.1708
1100,4.9281,4.9408,139.8776,7.1280,0.0127,10.9367,768.3771
1150,5.0550,4.9835,145.9885,7.1897,-0.0715,1438.1611,785.7363
1200,5.6026,4.9585,142.3803,7.1536,-0.6441,129.6476,811.0842
1250,5.2802,4.9807,145.5777,7.1856,-0.2995,48.2213,841.0049
1300,4.8140,4.9728,144.4256,7.1742,0.1588,13.6153,870.8099
1350,5.0757,4.9330,138.7985,7.1168,-0.1427,21.2362,905.0841
1400,5.5870,4.9572,142.1940,7.1517,-0.6298,30.0978,933.3761
1450,4.8326,4.9614,142.7915,7.1578,0.1287,82.2300,959.0370
1500,4.5694,4.9665,143.5220,7.1651,0.3971,21.6082,983.6691
1550,4.1572,5.0131,150.3676,7.2323,0.8558,20.3275,1014.8210
1600,6.1901,4.9807,145.5711,7.1856,-1.2095,55.8734,1041.2493
1650,4.8288,5.0377,154.1152,7.2679,0.2089,13.6705,1073.2407
1700,5.4556,4.9826,145.8482,7.1883,-0.4731,17.5906,1104.8559
1750,4.1537,4.9926,147.3233,7.2028,0.8390,52.4518,1140.5541
1800,5.4233,4.9746,144.6898,7.1768,-0.4487,12.1121,1178.7886
1850,5.1549,4.9964,147.8827,7.2083,-0.1584,36.1796,1218.6693
1900,4.9338,5.0103,149.9533,7.2284,0.0765,10.1098,1253.5650
1950,4.0304,4.9405,139.8335,7.1276,0.9101,14.0471,1290.2600
2000,5.3024,4.9432,140.2117,7.1315,-0.3592,218.9243,1328.8394
2050,4.5476,5.0738,159.7806,7.3199,0.5262,17.0266,1363.3145
2100,5.1675,4.9766,144.9786,7.1797,-0.1909,130.1369,1399.4750
2150,4.1667,5.0627,158.0213,7.3040,0.8960,948.5519,1432.4199
2200,4.0127,5.0039,148.9928,7.2191,0.9912,16.5573,1449.3742
2250,5.5263,5.0868,161.8735,7.3387,-0.4395,52.4266,1460.5977
2300,5.0140,5.1112,165.8687,7.3739,0.0972,986.0206,1469.2863
2350,4.2052,5.0314,153.1533,7.2588,0.8262,16.7097,1478.5920
2400,5.9221,5.0657,158.4951,7.3083,-0.8564,62.9931,1488.9997
2450,5.4387,5.0995,163.9458,7.3571,-0.3392,38.5811,1500.1471
2500,5.8015,5.0605,157.6664,7.3007,-0.7411,14.4872,1510.7895
2550,5.1578,5.0425,154.8544,7.2748,-0.1153,84.6454,1524.7558
2600,6.0634,5.0178,151.0803,7.2392,-1.0456,27.4268,1539.7721
2650,5.7824,5.0441,155.0977,7.2770,-0.7384,42.2258,1552.7730
2700,5.3796,5.0292,152.8134,7.2556,-0.3504,110.5365,1563.8541
2750,4.0786,4.9660,143.4504,7.1644,0.8874,5.4521,1576.7513
2800,4.2944,4.9969,147.9534,7.2090,0.7025,2.6538,1594.3764
2850,5.3760,4.9118,135.8858,7.0863,-0.4642,3.9903,1613.8911
2900,3.5709,4.9338,138.9002,7.1179,1.3629,2.9142,1635.1443
2950,4.6195,4.9527,141.5538,7.1452,0.3332,5.7416,1659.6651
3000,4.8327,4.9027,134.6586,7.0732,0.0700,20.4710,1687.9791
